Fight_ID,R_fighter,B_fighter,Winner,title_bout
5038,Ross Pearson,Desmond Green,Blue,FALSE
5037,Enrique Barzola,Kevin Aguilar,Blue,FALSE
5036,Kevin Holland,Gerald Meerschaert,Red,FALSE
5035,Ray Borg,Casey Kenney,Blue,FALSE
5034,Sabina Mazo,Maryna Moroz,Blue,FALSE
5033,Alex Perez,Mark De La Rosa,Red,FALSE
5032,Stephen Thompson,Anthony Pettis,Blue,FALSE
5031,Curtis Blaydes,Justin Willis,Red,FALSE
5030,John Makdessi,Jesus Pinedo,Red,FALSE
5029,Jussier Formiga,Deiveson Figueiredo,Red,FALSE
5028,Luis Pena,Steven Peterson,Red,FALSE
5027,Maycee Barber,JJ Aldrich,Red,FALSE
5026,Bryce Mitchell,Bobby Moffett,Red,FALSE
5025,Marlon Vera,Frankie Saenz,Red,FALSE
5024,Alexis Davis,Jennifer Maia,Blue,FALSE
5023,Randa Markos,Angela Hill,Red,FALSE
5022,Ryan MacDonald,Chris Gutierrez,Blue,FALSE
5021,Eric Shelton,Jordan Espinosa,Blue,FALSE
5020,Darren Till,Jorge Masvidal,Blue,FALSE
5019,Leon Edwards,Gunnar Nelson,Red,FALSE
5018,Volkan Oezdemir,Dominick Reyes,Blue,FALSE
5017,Nathaniel Wood,Jose Quinonez,Red,FALSE
5016,Danny Roberts,Claudio Silva,Blue,FALSE
5015,Jack Marshman,John Phillips,Red,FALSE
5014,Arnold Allen,Jordan Rinaldi,Red,FALSE
5013,Marc Diakiese,Joe Duffy,Red,FALSE
5012,Nicolae Negumereanu,Saparbeg Safarov,Blue,FALSE
5011,Danny Henry,Dan Ige,Blue,FALSE
5010,Molly McCann,Priscila Cachoeira,Red,FALSE
5009,Mike Grundy,Nad Narimani,Red,FALSE
5008,Derrick Lewis,Junior Dos Santos,Blue,FALSE
5007,Elizeu Zaleski dos Santos,Curtis Millender,Red,FALSE
5006,Tim Means,Niko Price,Blue,FALSE
5005,Blagoy Ivanov,Ben Rothwell,Red,FALSE
5004,Beneil Dariush,Drew Dober,Red,FALSE
5003,Tim Boetsch,Omari Akhmedov,Blue,FALSE
5002,Anthony Rocco Martin,Sergio Moraes,Red,FALSE
