fight_id,r_fighter,r_current_streak,r_avg_sig_str_landed,r_avg_opp_sig_str_landed,r_total_time_fought_seconds,r_stance,r_height_cms,r_reach_cms,r_age,r_record,r_takedown_diff,b_fighter,b_current_streak,b_avg_sig_str_landed,b_avg_opp_sig_str_landed,b_total_time_fought_seconds,b_stance,b_height_cms,b_reach_cms,b_age,b_record,b_takedown_diff,winner,title_bout
5094,Al Iaquinta,1,53.08333333,49.91666667,740.0833333,Orthodox,177.8,177.8,32,6,-0.5,Donald Cerrone,2,43.73333333,43.33333333,551.2666667,Orthodox,185.42,185.42,36,14,0.466666667,Blue,f
5093,Derek Brunson,-2,18.5,16.21428571,355.6428571,Southpaw,185.42,195.58,35,4,0.928571429,Elias Theodorou,3,57.9,31.1,832.8,Orthodox,185.42,190.5,30,6,-0.3,Red,f
5092,Cub Swanson,-3,61.6875,49.3125,807.9375,Orthodox,172.72,177.8,35,4,-0.875,Shane Burgos,1,71.6,59.8,656.4,Orthodox,180.34,190.5,28,3,0,Blue,f
5091,Brad Katona,2,73.5,41.5,900,Orthodox,167.64,162.56,27,2,-1,Merab Dvalishvili,1,56.66666667,33.33333333,900,Orthodox,167.64,172.72,28,-1,6.666666667,Blue,f
5090,Walt Harris,-1,21.09090909,20.63636364,460.9090909,Southpaw,195.58,195.58,35,-3,-0.181818182,Serghei Spivac,0,,,,Orthodox,190.5,198.12,24,0,0,Red,f
5089,Marc-Andre Barriault,0,,,,Orthodox,185.42,187.96,29,0,0,Andrew Sanchez,1,67.4,67.4,838,Orthodox,185.42,187.96,31,1,2.6,Blue,f
5088,Macy Chiasson,2,24.5,16.5,270,,180.34,182.88,27,2,0,Sarah Moras,-2,23.2,40,754.2,,170.18,170.18,31,-1,-0.8,Red,f
5087,Aiemann Zahabi,-1,45,53,809,Orthodox,172.72,172.72,31,0,-2.5,Vince Morales,-1,74,79,900,Orthodox,170.18,177.8,28,-1,-2,Blue,f
5086,Nordine Taleb,-2,35.7,26.3,626.5,Orthodox,185.42,187.96,37,2,1,Kyle Prepolec,0,,,,Southpaw,177.8,177.8,29,0,0,Red,f
5085,Kyle Nelson,-1,20,54,383,Switch,180.34,180.34,28,-1,-2,Matt Sayles,-1,77,73,900,Orthodox,170.18,172.72,25,-1,0,Blue,f
