Fight_ID,R_fighter,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,R_age,R_Record,R_Takedown_Diff
5082,Jacare Souza,1,26.83333333,24.75,509.1666667,Orthodox,185.42,182.88,39,6,1
5081,Greg Hardy,-1,29,12,448,Orthodox,195.58,203.2,30,-1,-1
5080,Alex Oliveira,-1,26.85714286,17.57142857,523.9285714,Orthodox,180.34,193.04,31,4,0.928571429
5079,Glover Teixeira,1,30.4375,34.9375,566.375,Orthodox,187.96,193.04,39,6,-0.1875
5078,John Lineker,2,60.26666667,45.66666667,693.3333333,Orthodox,160.02,170.18,28,9,-0.733333333
5077,Roosevelt Roberts,1,16,10,290,Orthodox,187.96,185.42,25,1,0
5076,Ben Saunders,-2,25.17647059,28.23529412,473.7647059,Orthodox,187.96,195.58,36,1,-0.705882353
5075,Andrei Arlovski,-3,26.75,22.32142857,521.1785714,Orthodox,190.5,195.58,40,4,-0.142857143
5074,Carla Esparza,-2,29,43,816.5714286,,154.94,160.02,31,-1,0.571428571
5073,Gilbert Burns,1,31.7,35.2,615,Orthodox,177.8,180.34,32,4,0.8
5072,Jim Miller,-1,28.58064516,29.61290323,616.6774194,Southpaw,172.72,180.34,35,5,-0.064516129
5071,Angela Hill,-2,69.55555556,66,747.8888889,Orthodox,160.02,162.56,34,-3,-1
5070,Court McGee,1,63.78571429,46.42857143,811.2142857,Orthodox,180.34,190.5,34,2,1.071428571
5069,Alistair Overeem,1,29.46666667,18.93333333,478.4,Orthodox,193.04,203.2,38,3,-0.2
5068,Islam Makhachev,4,16.83333333,6.166666667,450.6666667,Orthodox,177.8,177.8,27,4,2.166666667
5067,Sergei Pavlovich,-1,13,22,261,Southpaw,190.5,213.36,26,-1,-1
5066,Roxanne Modafferi,-1,63.25,86.75,953,,170.18,175.26,36,-2,-0.75
5065,Krzysztof Jotko,-3,34.5,22.8,723.9,Southpaw,185.42,195.58,29,2,0.2
5064,Movsar Evloev,0,,,,Orthodox,170.18,182.88,25,0,0
5063,Sultan Aliev,-1,11.66666667,21.66666667,554,Orthodox,180.34,187.96,34,-1,1
5062,Alexander Yakovlev,-2,23,33.16666667,730.1666667,Southpaw,190.5,187.96,34,-2,-0.5
5061,Marcin Tybura,1,52.71428571,43.71428571,878.1428571,Orthodox,190.5,198.12,33,1,0.857142857
5060,Gadzhimurad Antigulov,-1,4.666666667,14.33333333,157.6666667,Orthodox,180.34,177.8,32,1,1.666666667
5059,Magomed Mustafaev,-1,18.66666667,19.33333333,396.3333333,Orthodox,172.72,180.34,30,1,-3
5058,Max Holloway,13,85.63157895,50.05263158,744.5789474,Orthodox,180.34,175.26,27,13,-0.684210526
5057,Kelvin Gastelum,2,45.5,33.78571429,707.4285714,Southpaw,175.26,180.34,27,6,-1
5056,Eryk Anders,-2,45.5,56.83333333,876,Southpaw,185.42,190.5,31,0,1.166666667
5055,Alan Jouban,1,42.81818182,27.54545455,474.5454545,Southpaw,182.88,185.42,37,3,-0.272727273
5054,Ovince Saint Preux,-1,24.55555556,30.61111111,565.7222222,Southpaw,190.5,203.2,36,4,-0.666666667
5053,Jalin Turner,1,20,22,142.5,Southpaw,190.5,195.58,23,0,0
5052,Wilson Reis,1,22.5,35.75,727.5833333,Southpaw,162.56,165.1,34,2,3.333333333
5051,Max Griffin,-2,52.16666667,46.5,732,Orthodox,180.34,193.04,33,-2,-0.833333333
5050,Boston Salmon,0,,,,Southpaw,175.26,175.26,28,0,0
5049,Curtis Millender,-1,43.5,30.75,628,Orthodox,187.96,193.04,31,2,-1.25
5048,Montel Jackson,1,26,15.5,500,Southpaw,177.8,190.5,26,0,-2.5
5047,Lauren Mueller,-1,37.5,43,570,Orthodox,165.1,170.18,27,0,0.5
5046,Brandon Davis,-2,52,48.75,806.5,Orthodox,177.8,182.88,28,-2,-4.75
5045,Edson Barboza,1,45.45,47.15,683,Orthodox,180.34,190.5,33,8,-0.4
5044,David Branch,-1,17,19.25,611.625,Orthodox,185.42,198.12,37,0,0.75
5043,Josh Emmett,-1,46.16666667,43.16666667,711.3333333,Orthodox,167.64,177.8,34,2,0.833333333
5042,Karolina Kowalkiewicz,-1,75.625,67.75,787.625,Orthodox,160.02,162.56,33,2,-0.5
5041,Kennedy Nzechukwu,0,,,,,,,,,
5040,Sodiq Yusuff,1,23,5,134,Orthodox,175.26,180.34,25,,
5039,Marina Rodriguez,-1,60,48,900,Orthodox,167.64,165.1,31,,
5038,Ross Pearson,-1,44.08,48.52,719.72,Orthodox,172.72,175.26,34,,
5037,Enrique Barzola,4,52.83333333,33.83333333,900,,170.18,177.8,29,,
5036,Kevin Holland,1,77,60,872.5,Orthodox,190.5,205.74,26,,
5035,Ray Borg,-1,18.625,27.25,851,Orthodox,162.56,160.02,25,,
5034,Sabina Mazo,0,,,,Orthodox,170.18,177.8,22,,
5033,Alex Perez,-1,37.75,28.25,449.75,Orthodox,167.64,165.1,27,,
5032,Stephen Thompson,-1,48.38461538,35.15384615,841.7692308,Orthodox,182.88,190.5,36,,
5031,Curtis Blaydes,-1,38.25,22.125,550.125,Orthodox,193.04,203.2,28,,
5030,John Makdessi,2,61.33333333,43.46666667,670.8666667,Orthodox,172.72,172.72,33,,
5029,Jussier Formiga,3,15.25,24.75,685.1666667,Orthodox,165.1,170.18,33,,
5028,Luis Pena,-1,15.5,29,556,Southpaw,190.5,190.5,25,,
5027,Maycee Barber,1,68,41,421,Switch,165.1,165.1,20,,
5026,Bryce Mitchell,1,38,51,900,Southpaw,177.8,,24,,
5025,Marlon Vera,2,37.1,45.1,688.7,Switch,172.72,177.8,26,,
5024,Alexis Davis,-1,38.66666667,41.66666667,708.3333333,Orthodox,167.64,172.72,34,,
5023,Randa Markos,-2,40.7,45.5,837.4,Orthodox,162.56,160.02,33,,
5022,Ryan MacDonald,0,,,,Switch,180.34,180.34,26,,
5021,Eric Shelton,1,41.2,24.4,900,Orthodox,167.64,172.72,28,,
5020,Darren Till,-1,30.85714286,38.42857143,773.7142857,Southpaw,182.88,187.96,26,,
5019,Leon Edwards,6,34,28.5,858.8,Southpaw,182.88,187.96,27,,
5018,Volkan Oezdemir,-2,42.8,36.4,451.2,Orthodox,187.96,190.5,29,,
5017,Nathaniel Wood,2,47,26,645,Orthodox,167.64,175.26,25,,
5016,Danny Roberts,2,31.57142857,29.28571429,510.8571429,Southpaw,185.42,187.96,31,,
5015,Jack Marshman,-2,29,38.2,606.2,Orthodox,182.88,185.42,29,,
5014,Arnold Allen,4,28.75,24.25,815.5,Southpaw,172.72,177.8,25,,
5013,Marc Diakiese,-2,27.4,30.4,610.4,Orthodox,177.8,185.42,25,,
5012,Nicolae Negumereanu,0,,,,Orthodox,182.88,198.12,24,,
5011,Danny Henry,2,47.5,36,469.5,Orthodox,182.88,185.42,30,,
5010,Molly McCann,-1,10,17,425,Orthodox,162.56,157.48,28,,
5009,Mike Grundy,0,,,,Orthodox,170.18,182.88,32,,
5008,Derrick Lewis,-1,26.1875,21.8125,568.5,Orthodox,190.5,200.66,34,,
5007,Elizeu Zaleski dos Santos,6,51.42857143,35,711.8571429,Orthodox,180.34,185.42,32,,
5006,Tim Means,1,48.44444444,32.72222222,608.5555556,Orthodox,187.96,190.5,35,,
5005,Blagoy Ivanov,-1,51,110,1500,Southpaw,180.34,185.42,32,,
5004,Beneil Dariush,1,37,24.92857143,566.7142857,Southpaw,177.8,182.88,29,,
5003,Tim Boetsch,-1,25.82608696,25.08695652,526.2608696,Orthodox,182.88,187.96,38,,
5002,Anthony Rocco Martin,3,32.81818182,34.36363636,713.0909091,Orthodox,182.88,185.42,29,,
5001,Marion Reneau,-1,43,30.88888889,756.7777778,Orthodox,167.64,172.72,41,,
5000,Grant Dawson,0,,,,Switch,177.8,182.88,25,,
4999,Maurice Greene,1,9,0,134,,200.66,208.28,32,,
4998,Louis Smolka,1,45.81818182,39.09090909,701.6363636,Orthodox,175.26,172.72,27,,
4997,Alex Morono,1,51.71428571,33.42857143,747.4285714,Orthodox,180.34,182.88,28,,
4996,Alex White,-2,40.875,30.5,635.125,Southpaw,182.88,180.34,30,,
4995,Jon Jones,1,61.84210526,29.47368421,837.6315789,Orthodox,193.04,213.36,31,,
4994,Tyron Woodley,3,34.5,25.83333333,723.8333333,Orthodox,175.26,187.96,36,,
4993,Robbie Lawler,-1,51.78947368,58.42105263,801.8947368,Southpaw,180.34,187.96,36,,
4992,Tecia Torres,-2,62.11111111,43.55555556,839.2222222,Orthodox,154.94,152.4,29,,
4991,Cody Garbrandt,-2,32.5,32,560,Orthodox,172.72,165.1,27,,
4990,Jeremy Stephens,-1,37.44827586,33.37931034,724.9310345,Orthodox,172.72,180.34,32,,
4989,Misha Cirkunov,1,21.28571429,11.85714286,283.7142857,Orthodox,190.5,195.58,32,,
4988,Cody Stamann,-1,66.75,46.25,805.5,Orthodox,167.64,162.56,29,,
4987,Diego Sanchez,1,33.75,37.25,738.75,Southpaw,177.8,182.88,37,,
4986,Edmen Shahbazyan,1,22,34,900,Orthodox,187.96,,21,,
4985,Gina Mazany,-1,25.33333333,23,624.6666667,Southpaw,167.64,172.72,30,,
4984,Polyana Viana,-1,29,23,565,Orthodox,165.1,170.18,26,,
4983,Jan Blachowicz,4,44.6,36.9,736.1,Orthodox,187.96,198.12,35,,
4982,Stefan Struve,-3,24.71428571,30.80952381,472.1428571,Orthodox,210.82,213.36,31,,
4981,Gian Villante,1,52.28571429,66.85714286,700.6428571,Orthodox,190.5,193.04,33,,
4980,Liz Carmouche,1,35.25,28.375,778.25,Orthodox,167.64,167.64,35,,
4979,John Dodson,-1,46.14285714,46.57142857,819.9285714,Orthodox,160.02,167.64,34,,
4978,Magomed Ankalaev,1,35.5,10.5,544,Orthodox,190.5,190.5,26,,
4977,Dwight Grant,-1,25,14,900,Switch,185.42,193.04,34,,
4976,Daniel Teymur,-2,53,78,837.5,Orthodox,165.1,175.26,31,,
4975,Veronica Macedo,-2,23.5,64.5,833,Southpaw,162.56,162.56,23,,
4974,Damir Hadzovic,1,29,31.75,657.75,Orthodox,175.26,177.8,32,,
4973,Michel Prazeres,8,32.16666667,28.83333333,745.8333333,Orthodox,167.64,170.18,37,,
4972,Rustam Khabilov,6,25.81818182,23.72727273,769.3636364,Orthodox,172.72,185.42,32,,
4971,Damir Ismagulov,1,34,10,900,Orthodox,177.8,,28,,
4970,Francis Ngannou,1,14.33333333,14.11111111,435.8888889,Orthodox,193.04,210.82,32,,
4969,James Vick,-1,35.90909091,26.36363636,518.2727273,Orthodox,190.5,193.04,31,,
4968,Cortney Casey,1,59.77777778,57.66666667,747.7777778,Orthodox,170.18,170.18,31,,
4967,Alex Caceres,1,48.42105263,34.89473684,753,Southpaw,177.8,185.42,30,,
4966,Vicente Luque,3,25,20.44444444,404.4444444,Orthodox,180.34,190.5,27,,
4965,Andre Fili,-1,41.72727273,41.72727273,672.1818182,Orthodox,180.34,187.96,28,,
4964,Jimmie Rivera,1,48.85714286,36.85714286,660.2857143,Orthodox,162.56,172.72,29,,
4963,Benito Lopez,1,78,78,900,Switch,177.8,185.42,24,,
4962,Ashlee Evans-Smith,1,54.33333333,40.5,656,Orthodox,172.72,170.18,31,,
4961,Scott Holtzman,3,64.71428571,46.57142857,868.8571429,Orthodox,175.26,175.26,35,,
4960,Renan Barao,-3,54.93333333,56.26666667,857.1333333,Orthodox,167.64,177.8,32,,
4959,Alexandra Albu,2,62,59,707,Orthodox,157.48,160.02,28,,
4958,Israel Adesanya,4,60.25,27.75,802,Switch,193.04,203.2,29,,
4957,Lando Vannata,-4,57.83333333,63.5,690.3333333,Orthodox,175.26,180.34,26,,
4956,Rani Yahya,3,18.2,14.06666667,645.4,Orthodox,167.64,170.18,34,,
4955,Montana De La Rosa,2,31,25,490.5,,170.18,172.72,23,,
4954,Jimmy Crute,1,17,12,891,Orthodox,187.96,187.96,22,,
4953,Devonte Smith,1,13,4,46,Orthodox,175.26,193.04,25,,
4952,Shane Young,1,61,62.5,740,Orthodox,172.72,182.88,25,,
4951,Kai Kara-France,1,86,16,900,Orthodox,165.1,175.26,25,,
4950,Teruto Ishihara,-2,34.75,37.875,649.25,Southpaw,170.18,175.26,27,,
4949,Callan Potter,0,,,,Orthodox,182.88,182.88,34,,
4948,Wuliji Buren,-2,24,35.5,746.5,Orthodox,175.26,175.26,29,,
4947,Raphael Assuncao,4,47.15384615,30.46153846,746,Orthodox,165.1,167.64,36,,
4946,Jose Aldo,1,56.66666667,58.41666667,1027.916667,Orthodox,170.18,177.8,32,,
4945,Demian Maia,-3,22.92857143,25.10714286,772.6428571,Southpaw,185.42,182.88,41,,
4944,Charles Oliveira,3,20.22727273,20,402.6363636,Orthodox,177.8,187.96,29,,
4943,Johnny Walker,1,10,4,117,Orthodox,195.58,208.28,26,,
4942,Livinha Souza,1,10,4,81,Orthodox,165.1,160.02,27,,
4941,Markus Perez,-1,29.33333333,51.66666667,689.3333333,Orthodox,185.42,185.42,30,,
4940,Mara Romero Borella,-1,41,34,537,Orthodox,167.64,175.26,32,,
4939,Thiago Alves,-2,39.66666667,34.41666667,659.9583333,Orthodox,175.26,177.8,35,,
4938,Junior Albini,-2,26.33333333,40.33333333,392,Orthodox,190.5,187.96,27,,
4937,Geraldo de Freitas,0,,,,Orthodox,175.26,182.88,27,,
4936,Ricardo Ramos,3,47,46.33333333,839.3333333,Orthodox,175.26,182.88,23,,
4935,Magomed Bibulatov,-1,28,9,499,Orthodox,165.1,165.1,30,,
4934,Henry Cejudo,3,46.88888889,35.66666667,821.5555556,Orthodox,162.56,162.56,31,,
4933,Greg Hardy,0,,,,Orthodox,195.58,203.2,30,,
4932,Gregor Gillespie,5,23.2,16.6,436.8,Orthodox,170.18,180.34,32,,
4931,Joseph Benavidez,1,47.3125,33.75,707.6875,Southpaw,162.56,165.1,34,,
4930,Paige VanZant,-2,42.14285714,33,728.2857143,Orthodox,162.56,165.1,24,,
4929,Glover Teixeira,-1,32.06666667,35.66666667,590.7333333,Orthodox,187.96,193.04,39,,
4928,Alexander Hernandez,2,23.5,11.5,471,Orthodox,175.26,182.88,26,,
4927,Joanne Calderwood,1,58,42,589.8571429,Orthodox,167.64,165.1,33,,
4926,Alonzo Menifield,0,,,,Orthodox,182.88,193.04,31,,
4925,Cory Sandhagen,2,73,20.5,444.5,Switch,180.34,177.8,26,,
4924,Dennis Bermudez,-4,50.4375,36.375,681.6875,Orthodox,167.64,167.64,32,,
4923,Belal Muhammad,4,60,51,776.8571429,Orthodox,180.34,182.88,30,,
4922,Kyle Stewart,0,,,,Orthodox,187.96,193.04,29,,
4921,Jon Jones,-1,62,29.88888889,844.0555556,Orthodox,193.04,213.36,31,,
4920,Cris Cyborg,5,67,19.4,590.2,Orthodox,172.72,172.72,33,,
4919,Carlos Condit,-4,54.06666667,34.4,801.4,Orthodox,187.96,190.5,34,,
4918,Ilir Latifi,2,15.3,17.1,386.7,Orthodox,177.8,185.42,35,,
4917,Chad Mendes,1,27.15384615,21.38461538,494.2307692,Orthodox,167.64,167.64,33,,
4916,Andrei Arlovski,-2,26.11111111,22.25925926,507.1481481,Orthodox,190.5,195.58,39,,
4915,Cat Zingano,1,29.66666667,18.66666667,695,Southpaw,167.64,172.72,36,,
4914,Douglas Silva de Andrade,1,52.6,54.8,805.8,Orthodox,170.18,172.72,33,,
4913,BJ Penn,-6,37.28,46.12,812.44,Orthodox,175.26,177.8,40,,
4912,Nathaniel Wood,1,33,37,438,Orthodox,167.64,175.26,25,,
4911,Uriah Hall,-1,29.84615385,31.38461538,521.1538462,Orthodox,182.88,200.66,34,,
4910,Curtis Millender,2,42.5,38.5,728.5,Orthodox,187.96,193.04,31,,
4909,Brian Kelleher,-1,47,55.6,557.6,Switch,167.64,167.64,32,,
4908,Kevin Lee,1,45,32.84615385,665.2307692,Orthodox,175.26,195.58,26,,
4907,Edson Barboza,-2,41.21052632,45.36842105,680.0526316,Orthodox,180.34,190.5,32,,
4906,Rob Font,-1,36.375,30.625,497.75,Orthodox,172.72,180.34,31,,
4905,Jim Miller,1,29.5,30.6,634.7333333,Southpaw,172.72,180.34,35,,
4904,Zak Ottow,-1,29.83333333,26.83333333,587.3333333,Orthodox,180.34,182.88,31,,
4903,Bobby Green,1,61.88888889,50.77777778,740.8888889,Orthodox,177.8,180.34,32,,
4902,Jared Gordon,-1,58.66666667,25.66666667,527.3333333,Orthodox,175.26,172.72,30,,
4901,Gerald Meerschaert,2,23.8,21.6,360.6,Southpaw,185.42,195.58,30,,
4900,Trevor Smith,-1,42.5,34.4,727.6,Orthodox,190.5,190.5,37,,
4899,Dan Ige,1,30,36,475,Orthodox,170.18,180.34,27,,
4898,Adam Milstead,-2,39,41,600,Orthodox,190.5,193.04,31,,
4897,Chris de la Rocha,1,26.66666667,34.33333333,374,Orthodox,190.5,203.2,39,,
4896,Max Holloway,12,74.27777778,46.72222222,719.2777778,Orthodox,180.34,175.26,27,,
4895,Valentina Shevchenko,1,54.5,39.16666667,989,Southpaw,165.1,167.64,30,,
4894,Alex Oliveira,2,26.15384615,18.07692308,521.3846154,Orthodox,180.34,193.04,30,,
4893,Hakeem Dawodu,1,39,12.5,469.5,Orthodox,172.72,185.42,27,,
4892,Jimi Manuwa,-2,26,29.1,467.2,Orthodox,185.42,200.66,38,,
4891,Claudia Gadelha,1,47.625,66,885.375,Orthodox,162.56,160.02,30,,
4890,Olivier Aubin-Mercier,-1,30,31.1,697.5,Southpaw,175.26,177.8,29,,
4889,Katlyn Chookagian,3,60.4,59.6,900,Orthodox,175.26,172.72,29,,
4888,Elias Theodorou,2,54.11111111,27.33333333,825.3333333,Orthodox,185.42,190.5,30,,
4887,Brad Katona,1,71,14,900,Orthodox,167.64,162.56,26,,
4886,Chad Laprise,-1,44.66666667,33.66666667,561.3333333,Orthodox,177.8,180.34,32,,
4885,Diego Ferreira,2,27.83333333,22.16666667,432.3333333,Orthodox,175.26,187.96,33,,
4884,Devin Clark,1,38.8,32.6,695.8,Orthodox,182.88,190.5,28,,
4883,Junior Dos Santos,1,59.35294118,38.94117647,737.3529412,Orthodox,193.04,195.58,34,,
4882,Mauricio Rua,-1,38.77777778,37.61111111,654.7777778,Orthodox,185.42,193.04,37,,
4881,Mark Hunt,-2,27.05882353,35.76470588,656.1176471,Orthodox,177.8,182.88,44,,
4880,Jake Matthews,3,31,21.9,609.6,Orthodox,180.34,185.42,24,,
4879,Suman Mokhtarian,0,,,,Orthodox,177.8,170.18,26,,
4878,Jimmy Crute,0,,,,Orthodox,187.96,187.96,22,,
4877,Yushin Okami,1,25.15,24.75,711.5,Southpaw,187.96,190.5,37,,
4876,Wilson Reis,-3,21.63636364,35.45454545,711.9090909,Southpaw,162.56,165.1,33,,
4875,Keita Nakamura,-1,29.66666667,51.66666667,848.4444444,Southpaw,180.34,185.42,34,,
4874,Elias Garcia,-1,19,25,420,Southpaw,165.1,170.18,26,,
4873,Mizuto Hirota,-2,58,57.16666667,900,Orthodox,170.18,170.18,37,,
4872,Alex Gorgees,0,,,,Switch,187.96,187.96,23,,
4871,Rafael Dos Anjos,-1,47.36,40.6,766.56,Southpaw,172.72,177.8,34,,
4870,Juan Espino,0,,,,,193.04,208.28,38,,
4869,Pannie Kianzad,0,,,,,170.18,172.72,26,,
4868,Pedro Munhoz,1,43.8,48.9,549.2,Orthodox,167.64,165.1,32,,
4867,Darren Stewart,2,22.5,21.66666667,420.1666667,Orthodox,182.88,187.96,27,,
4866,Ji Yeon Kim,2,67,73.66666667,900,Orthodox,170.18,182.88,29,,
4865,Rick Glenn,1,62.8,60,900,Southpaw,182.88,177.8,29,,
4864,Joseph Benavidez,-1,48.13333333,35.06666667,737.6,Southpaw,162.56,165.1,34,,
4863,Maurice Greene,0,,,,,200.66,208.28,32,,
4862,Julija Stoliarenko,0,,,,,170.18,167.64,25,,
4861,Roosevelt Roberts,0,,,,Orthodox,187.96,185.42,24,,
4860,Tim Means,-2,50.17647059,34.29411765,639.7647059,Orthodox,187.96,190.5,34,,
4859,Raoni Barcelos,1,82,102,689,Orthodox,170.18,170.18,31,,
4858,Curtis Blaydes,4,43.57142857,23.42857143,622.2857143,Orthodox,193.04,203.2,27,,
4857,Alistair Overeem,-2,30,19.35714286,493.9285714,Orthodox,193.04,203.2,38,,
4856,Song Yadong,2,23.5,5.5,427.5,Orthodox,172.72,170.18,20,,
4855,Li Jingliang,1,45.55555556,34.44444444,594.4444444,Orthodox,182.88,180.34,30,,
4854,Song Kenan,2,23,20,300,Orthodox,182.88,180.34,28,,
4853,Wu Yanan,-1,22,38,900,Orthodox,172.72,167.64,22,,
4852,Hu Yaozong,-1,8,20,453,Orthodox,190.5,182.88,23,,
4851,Weili Zhang,1,77,34,900,Switch,162.56,,29,,
4850,Liu Pingyuan,1,32,24,900,Orthodox,167.64,182.88,25,,
4849,Yan Xiaonan,2,83.5,48,900,Orthodox,165.1,160.02,29,,
4848,Kevin Holland,-1,31,69,900,Orthodox,190.5,205.74,26,,
4847,Su Mudaerji,0,,,,Southpaw,172.72,182.88,22,,
4846,Neil Magny,2,43.94736842,23.31578947,685.8947368,Orthodox,190.5,203.2,31,,
4845,Ricardo Lamas,-2,29.57142857,26.92857143,608,Orthodox,172.72,180.34,36,,
4844,Khalil Rountree Jr.,1,16,22.16666667,415.1666667,Southpaw,185.42,193.04,28,,
